order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
ord_7370c26ead3d3cc6cee4f0548b8d,1,prod_00086,sell_00084,2025-08-18 21:12:27.948040,4469.86,480.12
ord_079072dd7970d40a3922a6b0c459,1,prod_00181,sell_00028,2024-12-13 02:52:21.349382,1127.0,149.09
ord_2600b1cb6f6a38610007a8c9142c,1,prod_00041,sell_00092,2025-06-16 03:04:55.053859,1977.65,160.03
ord_aaa7c4626ea7ea636e5bba7afebd,1,prod_00027,sell_00080,2025-04-28 01:55:37.919760,914.42,75.57
ord_0ca0641b834ceb0a46f85637e125,1,prod_00038,sell_00053,2025-06-22 18:52:40.013157,3934.04,469.71
ord_4cb088c3cb961aa3e4d68ce1b7f6,1,prod_00115,sell_00050,2025-01-04 00:40:40.420404,2962.41,200.04
ord_4cb088c3cb961aa3e4d68ce1b7f6,2,prod_00020,sell_00050,2025-01-05 00:40:40.420404,331.99,65.33
ord_4cb088c3cb961aa3e4d68ce1b7f6,3,prod_00178,sell_00075,2025-01-06 00:40:40.420404,3703.4,638.78
ord_6133a8de0b2703b2d39095c72bdb,1,prod_00082,sell_00091,2024-11-26 13:00:18.419108,2924.44,312.59
ord_6aea1eb0a77195fdad5a001c4783,1,prod_00080,sell_00009,2025-02-11 16:13:42.400598,736.44,103.89
ord_6aea1eb0a77195fdad5a001c4783,2,prod_00005,sell_00049,2025-02-11 16:13:42.400598,2593.41,515.67
ord_6aea1eb0a77195fdad5a001c4783,3,prod_00188,sell_00073,2025-02-12 16:13:42.400598,4994.29,590.7
ord_6aea1eb0a77195fdad5a001c4783,4,prod_00063,sell_00027,2025-02-11 16:13:42.400598,4974.7,898.88
ord_6aea1eb0a77195fdad5a001c4783,5,prod_00093,sell_00021,2025-02-10 16:13:42.400598,2800.82,284.09
ord_7951ffd1361c23ff4c5d3d183f7a,1,prod_00188,sell_00016,2024-10-07 17:18:09.643663,190.76,19.23
ord_7951ffd1361c23ff4c5d3d183f7a,2,prod_00139,sell_00038,2024-10-08 17:18:09.643663,3771.68,556.4
ord_7951ffd1361c23ff4c5d3d183f7a,3,prod_00184,sell_00032,2024-10-08 17:18:09.643663,2881.87,575.11
ord_bceb05d7f16e6e3ddeab7ac1043e,1,prod_00083,sell_00015,2025-03-12 10:11:47.333523,541.05,120.84
